ico_smluvni_strany;castka;nazev_smluvni_strany;predmet;publikovano;hodnota_raw
12584878;23742,0;Aleš Sebastianides;Dodávka a pokládka koberců včetně úprav;27.01.2026;23 742 CZK bez DPH
47114983;;Česká pošta, s.p.;Veřejnoprávní smlouva o přenesení výkonu působnosti v oblasti doručování;26.01.2026;Neuvedeno
66002222;;Ministerstvo pro místní rozvoj;Veřejnoprávní smlouva o přenesení výkonu působnosti v oblasti doručování;26.01.2026;Neuvedeno
66002222;;Ministerstvo pro místní rozvoj;Veřejnoprávní smlouva o přenesení výkonu působnosti v oblasti doručování;26.01.2026;Neuvedeno
47114983;;Česká pošta, s.p.;Veřejnoprávní smlouva o přenesení výkonu působnosti v oblasti doručování;26.01.2026;Neuvedeno
25750178;99968,0;PROTECH PRODUCTION, s.r.o.;Putovní výstava IROP - dílčí objednávka č. 29;23.01.2026;99 968 CZK bez DPH
25342282;913248,0;Naviga Advisory and Evaluation s.r.o.;Dodatek č. 2 k objednávce 94/03/CES-6656/2025/56 na zajištění evaluace s názvem Návazné zadání na Zpětnou vazbu k JNR a analýza „red flags“ pro 2028+;22.01.2026;913 248 CZK s DPH
12584878;114583,0;Aleš Sebastianides;Dodávka a pokládka kobrce včetně úpravy podkladu, kancelář S442, S443;21.01.2026;114 583 CZK bez DPH
66002222;;Ministerstvo pro místní rozvoj;Veřejnoprávní smlouva - výkon přenesené působnosti - Veřejnoprávní smlouva o přenesení výkonu působnosti v oblasti doručování;19.01.2026;Neuvedeno
47114983;;Česká pošta, s.p.;Veřejnoprávní smlouva - výkon přenesené působnosti - Veřejnoprávní smlouva o přenesení výkonu působnosti v oblasti doručování;19.01.2026;Neuvedeno
28123395;69985,0;Artspect, a.s.;Obj. č. 14 Žádost o uveřejnění dílčí obj. 14  na kancelářský nábytek;19.01.2026;69 985 CZK bez DPH
21356807;187200,0;Tina Stasiowská;Psaní článků na web IROP;19.01.2026;187 200 CZK bez DPH
66002222;956665,0;Ministerstvo pro místní rozvoj;OBJEDNÁVKA Cloudové služby číslo MMR-eTurista-OBJ03;16.01.2026;956 665 CZK bez DPH
00071854;1994301,0;Prachatické muzeum;Smlouva o podmínkách realizace projektu (SoPR) - 240/LP1;16.01.2026;1 994 301 EUR
04095316;1994301,0;Centrum pro regionální rozvoj České republiky;Smlouva o podmínkách realizace projektu (SoPR) - 240/LP1;16.01.2026;1 994 301 EUR
66002222;1331175,0;Ministerstvo pro místní rozvoj;05_Objednávka Ostatní činnosti_Příprava služby poskytování infrastruktury pro MMR NGÚP;15.01.2026;1 331 175 CZK bez DPH
